A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	p.value.adj.BasalvsLP	p.value.adj.BasalvsML	p.value.adj.LPvsML	F	F.p.value
17864	3.15088029038724	1.01263197198316	1.49209391887317	0.47946194689001	4.13437343400349	5.97730877050848	1.68637714159176	0.00198846135726828	0.000130892735433392	0.122324410422848	0.0049685226893112	0.000457349678691168	0.223088100120979	18.5523205124477	0.000415502728349659
70675	6.09866483265993	-0.32244205014065	-0.00801921907585523	0.314422831064795	-2.17833417816242	-0.0540780993435045	2.10427732927611	0.0541441083421948	0.957927918668304	0.0613688025991683	0.085065582815793	0.966869671365009	0.133490339191833	3.05863808698004	0.0915128547295369
170755	2.9778172480107	1.48093074006137	0.2853649699189	-1.19556577014247	6.59551927068546	1.53756399367309	-5.12344306670372	5.83885374853823e-05	0.154878354700465	0.000434861039987499	0.000260577704310158	0.205609362167956	0.00408445416052934	24.0377389307261	0.000144658237029815
620986	1.87447536954687	1.02923180111047	0.0195340301756195	-1.00969777093485	3.54908001098887	0.0795983574172503	-3.40571263486743	0.00519745110484458	0.938112126699177	0.00661471924551376	0.0113090468356564	0.95113866399641	0.0262826081662559	8.06660929276149	0.00806845347802322
73824	3.54329209545242	0.221236104138845	0.0852692807978372	-0.135966823341008	0.985606689666215	0.399509014417553	-0.586012408263025	0.347353107037908	0.697837681934306	0.57073280666825	0.419673896382802	0.749194388706946	0.689268497438465	0.491479513176808	0.625624259259246
26754	6.02433059179259	0.0132774771049089	-0.192728266279666	-0.206005743384575	0.114978134356701	-1.68114540903196	-1.77040126444297	0.910716711136647	0.123356042725946	0.106790199970627	0.930869907286628	0.169233738035159	0.20174488964843	1.99118998320642	0.186652307652299
211660	4.7404322226681	-0.413685534119447	-0.0581527797687338	0.355532754350713	-1.79866075135853	-0.253139089832775	1.50934058912437	0.101983921132087	0.805239789924098	0.16184889931531	0.147453530962133	0.842286660552239	0.275154783821575	1.85897751819686	0.20540159267596
211673	7.70159257473941	-0.379756785870915	-0.199231487765495	0.18052529810542	-2.4954830041216	-1.30377902812614	1.19287143781983	0.0314823266388312	0.221247774096042	0.260195179774882	0.0531585596422748	0.281402058011174	0.39121799400395	3.11673899696176	0.0882723338367612
329093	-2.18195957876792	7.31732564056536	9.88381786057274	2.56649222000738	15.6905349221764	20.4374646485418	3.92685111834289	2.01923485702912e-08	1.50971086115288e-09	0.00278235489088434	8.33891013114213e-07	1.72460115711537e-07	0.0142675550727009	226.359610267428	4.10112052383554e-09
109294	2.09339378022729	1.11020659879353	0.808070460782767	-0.302136138010758	2.07854455681647	1.66799801888399	-0.518169306709099	0.0640880562766151	0.125983167006491	0.615503132798939	0.098205032146068	0.172237386415109	0.724919088392531	2.4557344697671	0.135182345713943
240725	2.78996482694277	3.5696922129369	4.26196710123002	0.692274888293126	13.4871104247982	15.524259756871	2.03010752650256	8.72901895198032e-08	2.23975570115372e-08	0.0695198858500519	2.12789391277818e-06	6.90940079795623e-07	0.146496456867894	142.342036216552	3.99961272101743e-08
17978	7.16987354950921	-0.268168164372453	-0.400857621227496	-0.132689456855044	-2.38294039344756	-3.53254326232589	-1.17724821839269	0.0381934422676927	0.00534349064794521	0.266099525808558	0.0630621412427867	0.0110015327075791	0.39723847897428	6.51430847717341	0.0152404661353448
72265	7.21685164907522	-0.912836777108336	-0.448633846731776	0.46420293037656	-6.14655418694185	-3.02489051801754	3.1151918992677	0.000104414325326315	0.012654407347977	0.0108405882032409	0.000422338354725086	0.0233885281946888	0.037216900605649	18.8781658756668	0.000387710842859069
